reference_year,school_level,category,spending_100m_krw,spending_krw,source_table,source_printed_pages
2025,전체,음악,18876,1887600000000,학교급(학년) 및 특성별 사교육비 총액,22-23
2025,초등학교,음악,13560,1356000000000,학교급(학년) 및 특성별 사교육비 총액,22-23
2025,중학교,음악,2415,241500000000,학교급(학년) 및 특성별 사교육비 총액,22-23
2025,고등학교,음악,2901,290100000000,학교급(학년) 및 특성별 사교육비 총액,22-23
